timestamp,price,change,percent_change
2025-02-19 10:23:34.251849,138.5,-0.9,0.64%
2025-02-19 10:25:29.243937,138.51,-0.89,0.64%
2025-02-19 10:25:35.105234,138.51,-0.89,0.64%
2025-02-19 10:25:41.431588,138.5,-0.9,10.65%
2025-02-19 10:25:47.279394,138.57,-0.83,0.60%
2025-02-19 10:25:53.093937,138.57,-0.83,0.60%
2025-02-19 10:25:58.922350,138.57,-0.83,0.60%
2025-02-19 10:26:04.917668,138.52,-0.88,0.63%
2025-02-19 10:26:10.799984,138.58,-0.82,0.59%
2025-02-19 10:26:16.554164,138.54,-0.86,0.61%
2025-02-19 10:26:22.398255,138.54,-0.86,0.61%
2025-02-19 10:26:28.178750,138.65,-0.75,0.54%
2025-02-19 10:26:34.047360,138.65,-0.75,0.54%
2025-02-19 10:26:39.850594,138.75,-0.05,0.87%
2025-02-19 10:26:45.753757,138.75,-0.05,0.87%
2025-02-19 10:26:51.537244,138.68,-0.72,0.52%
2025-02-19 10:26:57.372949,138.68,-0.72,0.52%
2025-02-19 10:27:03.127109,138.75,-0.05,0.87%
2025-02-19 10:27:08.873752,138.94,-0.47,0.33%
2025-02-19 10:27:14.657537,138.75,-0.05,0.87%
2025-02-19 10:27:20.402304,138.94,-0.47,0.33%
2025-02-19 10:27:26.380217,138.95,-0.45,0.32%
2025-02-19 10:27:32.130118,138.94,-0.47,0.33%
2025-02-19 10:27:37.974353,138.91,-0.5,0.36%
2025-02-19 10:27:43.808184,138.95,-0.45,0.32%
2025-02-19 10:27:49.586036,138.95,-0.45,0.32%
2025-02-19 10:27:55.334568,138.94,-0.46,0.39%
2025-02-19 10:28:01.169696,138.94,-0.46,0.39%
2025-02-19 10:28:06.979318,138.91,-0.5,0.36%
2025-02-19 10:28:12.777767,138.94,-0.46,0.39%
2025-02-19 10:28:18.563203,138.94,-0.46,0.39%
2025-02-19 10:28:24.422844,138.95,-0.45,0.32%
2025-02-19 10:28:30.337196,139.03,-0.37,0.27%
2025-02-19 10:28:36.226125,139.03,-0.37,0.27%
2025-02-19 10:28:42.383801,1.0,-0.26,0.19%
2025-02-19 10:28:48.198851,1.0,-0.26,0.19%
2025-02-19 10:28:54.056405,1.0,-0.3,0.22%
